component,iteration,phase,latency_ms,seed,timestamp_utc,status,resource_profiling_status,resource_profiling_reason,process_cpu_percent_before,process_cpu_percent_after,rss_mb_before,rss_mb_after,memory_delta_mb
security_capabilities,0,cold,0.0016,7,2026-06-05T14:01:02.208385+00:00,measured,skipped,psutil unavailable,,,,,
security_capabilities,0,warmup,0.0011,7,2026-06-05T14:01:02.208399+00:00,measured,skipped,psutil unavailable,,,,,
security_capabilities,0,measured,0.0006,7,2026-06-05T14:01:02.208405+00:00,measured,skipped,psutil unavailable,,,,,
security_capabilities,1,measured,0.0005,7,2026-06-05T14:01:02.208409+00:00,measured,skipped,psutil unavailable,,,,,
security_capabilities,2,measured,0.0003,7,2026-06-05T14:01:02.208412+00:00,measured,skipped,psutil unavailable,,,,,
security_capabilities,3,measured,0.0003,7,2026-06-05T14:01:02.208415+00:00,measured,skipped,psutil unavailable,,,,,
security_capabilities,4,measured,0.0003,7,2026-06-05T14:01:02.208417+00:00,measured,skipped,psutil unavailable,,,,,
identity_security,0,cold,0.01,7,2026-06-05T14:01:02.214242+00:00,measured,skipped,psutil unavailable,,,,,
identity_security,0,warmup,0.005,7,2026-06-05T14:01:02.214256+00:00,measured,skipped,psutil unavailable,,,,,
identity_security,0,measured,0.0031,7,2026-06-05T14:01:02.214263+00:00,measured,skipped,psutil unavailable,,,,,
identity_security,1,measured,0.0021,7,2026-06-05T14:01:02.214268+00:00,measured,skipped,psutil unavailable,,,,,
identity_security,2,measured,0.0017,7,2026-06-05T14:01:02.214272+00:00,measured,skipped,psutil unavailable,,,,,
identity_security,3,measured,0.0018,7,2026-06-05T14:01:02.214276+00:00,measured,skipped,psutil unavailable,,,,,
identity_security,4,measured,0.0018,7,2026-06-05T14:01:02.214281+00:00,measured,skipped,psutil unavailable,,,,,
consensus_security,0,cold,0.0011,7,2026-06-05T14:01:02.214845+00:00,measured,skipped,psutil unavailable,,,,,
consensus_security,0,warmup,0.0009,7,2026-06-05T14:01:02.214853+00:00,measured,skipped,psutil unavailable,,,,,
consensus_security,0,measured,0.0004,7,2026-06-05T14:01:02.214856+00:00,measured,skipped,psutil unavailable,,,,,
consensus_security,1,measured,0.0002,7,2026-06-05T14:01:02.214859+00:00,measured,skipped,psutil unavailable,,,,,
consensus_security,2,measured,0.0003,7,2026-06-05T14:01:02.214862+00:00,measured,skipped,psutil unavailable,,,,,
consensus_security,3,measured,0.0003,7,2026-06-05T14:01:02.214864+00:00,measured,skipped,psutil unavailable,,,,,
consensus_security,4,measured,0.0002,7,2026-06-05T14:01:02.214867+00:00,measured,skipped,psutil unavailable,,,,,
pedersen_privacy,0,cold,0.001,7,2026-06-05T14:01:02.224173+00:00,measured,skipped,psutil unavailable,,,,,
pedersen_privacy,0,warmup,0.0006,7,2026-06-05T14:01:02.224183+00:00,measured,skipped,psutil unavailable,,,,,
pedersen_privacy,0,measured,0.0003,7,2026-06-05T14:01:02.224186+00:00,measured,skipped,psutil unavailable,,,,,
pedersen_privacy,1,measured,0.0002,7,2026-06-05T14:01:02.224189+00:00,measured,skipped,psutil unavailable,,,,,
pedersen_privacy,2,measured,0.0002,7,2026-06-05T14:01:02.224192+00:00,measured,skipped,psutil unavailable,,,,,
pedersen_privacy,3,measured,0.0001,7,2026-06-05T14:01:02.224195+00:00,measured,skipped,psutil unavailable,,,,,
pedersen_privacy,4,measured,0.0001,7,2026-06-05T14:01:02.224197+00:00,measured,skipped,psutil unavailable,,,,,
reviewer_audit,0,cold,0.0011,7,2026-06-05T14:01:02.224298+00:00,measured,skipped,psutil unavailable,,,,,
reviewer_audit,0,warmup,0.0005,7,2026-06-05T14:01:02.224303+00:00,measured,skipped,psutil unavailable,,,,,
reviewer_audit,0,measured,0.0002,7,2026-06-05T14:01:02.224306+00:00,measured,skipped,psutil unavailable,,,,,
reviewer_audit,1,measured,0.0002,7,2026-06-05T14:01:02.224308+00:00,measured,skipped,psutil unavailable,,,,,
reviewer_audit,2,measured,0.0002,7,2026-06-05T14:01:02.224311+00:00,measured,skipped,psutil unavailable,,,,,
reviewer_audit,3,measured,0.0002,7,2026-06-05T14:01:02.224314+00:00,measured,skipped,psutil unavailable,,,,,
reviewer_audit,4,measured,0.0002,7,2026-06-05T14:01:02.224316+00:00,measured,skipped,psutil unavailable,,,,,
blockchain_append_validate,0,cold,297.9069,7,2026-06-05T14:01:02.695452+00:00,measured,skipped,psutil unavailable,,,,,
blockchain_append_validate,0,warmup,426.9351,7,2026-06-05T14:01:03.122400+00:00,measured,skipped,psutil unavailable,,,,,
blockchain_append_validate,0,measured,564.2093,7,2026-06-05T14:01:03.686621+00:00,measured,skipped,psutil unavailable,,,,,
blockchain_append_validate,1,measured,693.5253,7,2026-06-05T14:01:04.380156+00:00,measured,skipped,psutil unavailable,,,,,
blockchain_append_validate,2,measured,804.7759,7,2026-06-05T14:01:05.184941+00:00,measured,skipped,psutil unavailable,,,,,
blockchain_append_validate,3,measured,941.4362,7,2026-06-05T14:01:06.126386+00:00,measured,skipped,psutil unavailable,,,,,
blockchain_append_validate,4,measured,1067.377,7,2026-06-05T14:01:07.193772+00:00,measured,skipped,psutil unavailable,,,,,
fl_validation,0,cold,0.0027,7,2026-06-05T14:01:07.194253+00:00,measured,skipped,psutil unavailable,,,,,
fl_validation,0,warmup,0.0019,7,2026-06-05T14:01:07.194263+00:00,measured,skipped,psutil unavailable,,,,,
fl_validation,0,measured,0.0008,7,2026-06-05T14:01:07.194267+00:00,measured,skipped,psutil unavailable,,,,,
fl_validation,1,measured,0.0005,7,2026-06-05T14:01:07.194271+00:00,measured,skipped,psutil unavailable,,,,,
fl_validation,2,measured,0.0003,7,2026-06-05T14:01:07.194273+00:00,measured,skipped,psutil unavailable,,,,,
fl_validation,3,measured,0.0004,7,2026-06-05T14:01:07.194276+00:00,measured,skipped,psutil unavailable,,,,,
fl_validation,4,measured,0.0003,7,2026-06-05T14:01:07.194279+00:00,measured,skipped,psutil unavailable,,,,,
