component,iteration,phase,latency_ms,seed,timestamp_utc,status
security_capabilities,0,cold,0.0019,7,2026-06-05T13:57:02.198846+00:00,measured
security_capabilities,0,warmup,0.0012,7,2026-06-05T13:57:02.198861+00:00,measured
security_capabilities,0,measured,0.0024,7,2026-06-05T13:57:02.198868+00:00,measured
security_capabilities,1,measured,0.0005,7,2026-06-05T13:57:02.198872+00:00,measured
security_capabilities,2,measured,0.0004,7,2026-06-05T13:57:02.198875+00:00,measured
security_capabilities,3,measured,0.0004,7,2026-06-05T13:57:02.198878+00:00,measured
security_capabilities,4,measured,0.0004,7,2026-06-05T13:57:02.198880+00:00,measured
identity_security,0,cold,0.0088,7,2026-06-05T13:57:02.204698+00:00,measured
identity_security,0,warmup,0.0051,7,2026-06-05T13:57:02.204712+00:00,measured
identity_security,0,measured,0.0026,7,2026-06-05T13:57:02.204718+00:00,measured
identity_security,1,measured,0.0019,7,2026-06-05T13:57:02.204723+00:00,measured
identity_security,2,measured,0.0015,7,2026-06-05T13:57:02.204727+00:00,measured
identity_security,3,measured,0.0016,7,2026-06-05T13:57:02.204731+00:00,measured
identity_security,4,measured,0.0015,7,2026-06-05T13:57:02.204735+00:00,measured
consensus_security,0,cold,0.001,7,2026-06-05T13:57:02.205282+00:00,measured
consensus_security,0,warmup,0.001,7,2026-06-05T13:57:02.205290+00:00,measured
consensus_security,0,measured,0.0004,7,2026-06-05T13:57:02.205293+00:00,measured
consensus_security,1,measured,0.0004,7,2026-06-05T13:57:02.205296+00:00,measured
consensus_security,2,measured,0.0003,7,2026-06-05T13:57:02.205299+00:00,measured
consensus_security,3,measured,0.0003,7,2026-06-05T13:57:02.205301+00:00,measured
consensus_security,4,measured,0.0003,7,2026-06-05T13:57:02.205304+00:00,measured
pedersen_privacy,0,cold,0.0009,7,2026-06-05T13:57:02.214967+00:00,measured
pedersen_privacy,0,warmup,0.0007,7,2026-06-05T13:57:02.214976+00:00,measured
pedersen_privacy,0,measured,0.0004,7,2026-06-05T13:57:02.214980+00:00,measured
pedersen_privacy,1,measured,0.0002,7,2026-06-05T13:57:02.214983+00:00,measured
pedersen_privacy,2,measured,0.0002,7,2026-06-05T13:57:02.214986+00:00,measured
pedersen_privacy,3,measured,0.0002,7,2026-06-05T13:57:02.214988+00:00,measured
pedersen_privacy,4,measured,0.0002,7,2026-06-05T13:57:02.214991+00:00,measured
reviewer_audit,0,cold,0.0011,7,2026-06-05T13:57:02.215074+00:00,measured
reviewer_audit,0,warmup,0.0005,7,2026-06-05T13:57:02.215079+00:00,measured
reviewer_audit,0,measured,0.0003,7,2026-06-05T13:57:02.215082+00:00,measured
reviewer_audit,1,measured,0.0002,7,2026-06-05T13:57:02.215085+00:00,measured
reviewer_audit,2,measured,0.0002,7,2026-06-05T13:57:02.215087+00:00,measured
reviewer_audit,3,measured,0.0002,7,2026-06-05T13:57:02.215090+00:00,measured
reviewer_audit,4,measured,0.0002,7,2026-06-05T13:57:02.215092+00:00,measured
blockchain_append_validate,0,cold,303.8451,7,2026-06-05T13:57:02.693551+00:00,measured
blockchain_append_validate,0,warmup,434.0461,7,2026-06-05T13:57:03.127606+00:00,measured
blockchain_append_validate,0,measured,544.2623,7,2026-06-05T13:57:03.671878+00:00,measured
blockchain_append_validate,1,measured,681.6734,7,2026-06-05T13:57:04.353573+00:00,measured
blockchain_append_validate,2,measured,802.9422,7,2026-06-05T13:57:05.156524+00:00,measured
blockchain_append_validate,3,measured,954.3164,7,2026-06-05T13:57:06.110848+00:00,measured
blockchain_append_validate,4,measured,1084.0945,7,2026-06-05T13:57:07.194953+00:00,measured
fl_validation,0,cold,0.0025,7,2026-06-05T13:57:07.195411+00:00,measured
fl_validation,0,warmup,0.0021,7,2026-06-05T13:57:07.195421+00:00,measured
fl_validation,0,measured,0.0008,7,2026-06-05T13:57:07.195425+00:00,measured
fl_validation,1,measured,0.0004,7,2026-06-05T13:57:07.195428+00:00,measured
fl_validation,2,measured,0.0004,7,2026-06-05T13:57:07.195431+00:00,measured
fl_validation,3,measured,0.0004,7,2026-06-05T13:57:07.195434+00:00,measured
fl_validation,4,measured,0.0003,7,2026-06-05T13:57:07.195437+00:00,measured
