scenario,seed,dataset,detector_profile,status,tp,fp,tn,fn,precision,recall,f1,roc_auc
realistic-speed-range,0,TODO_DATASET,TODO_DETECTOR_PROFILE,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: derive from TP/FP,TODO: derive from TP/FN,TODO: derive from precision/recall,TODO: compute from scores and labels
realistic-speed-range,1,TODO_DATASET,TODO_DETECTOR_PROFILE,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: derive from TP/FP,TODO: derive from TP/FN,TODO: derive from precision/recall,TODO: compute from scores and labels
realistic-speed-range,2,TODO_DATASET,TODO_DETECTOR_PROFILE,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: derive from TP/FP,TODO: derive from TP/FN,TODO: derive from precision/recall,TODO: compute from scores and labels
realistic-speed-range,3,TODO_DATASET,TODO_DETECTOR_PROFILE,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: derive from TP/FP,TODO: derive from TP/FN,TODO: derive from precision/recall,TODO: compute from scores and labels
realistic-speed-range,4,TODO_DATASET,TODO_DETECTOR_PROFILE,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: derive from TP/FP,TODO: derive from TP/FN,TODO: derive from precision/recall,TODO: compute from scores and labels
realistic-speed-range,5,TODO_DATASET,TODO_DETECTOR_PROFILE,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: derive from TP/FP,TODO: derive from TP/FN,TODO: derive from precision/recall,TODO: compute from scores and labels
realistic-speed-range,6,TODO_DATASET,TODO_DETECTOR_PROFILE,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: derive from TP/FP,TODO: derive from TP/FN,TODO: derive from precision/recall,TODO: compute from scores and labels
realistic-speed-range,7,TODO_DATASET,TODO_DETECTOR_PROFILE,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: derive from TP/FP,TODO: derive from TP/FN,TODO: derive from precision/recall,TODO: compute from scores and labels
realistic-speed-range,8,TODO_DATASET,TODO_DETECTOR_PROFILE,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: derive from TP/FP,TODO: derive from TP/FN,TODO: derive from precision/recall,TODO: compute from scores and labels
realistic-speed-range,9,TODO_DATASET,TODO_DETECTOR_PROFILE,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: derive from TP/FP,TODO: derive from TP/FN,TODO: derive from precision/recall,TODO: compute from scores and labels
realistic-speed-range,10,TODO_DATASET,TODO_DETECTOR_PROFILE,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: derive from TP/FP,TODO: derive from TP/FN,TODO: derive from precision/recall,TODO: compute from scores and labels
realistic-speed-range,11,TODO_DATASET,TODO_DETECTOR_PROFILE,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: derive from TP/FP,TODO: derive from TP/FN,TODO: derive from precision/recall,TODO: compute from scores and labels
realistic-speed-range,12,TODO_DATASET,TODO_DETECTOR_PROFILE,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: derive from TP/FP,TODO: derive from TP/FN,TODO: derive from precision/recall,TODO: compute from scores and labels
realistic-speed-range,13,TODO_DATASET,TODO_DETECTOR_PROFILE,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: derive from TP/FP,TODO: derive from TP/FN,TODO: derive from precision/recall,TODO: compute from scores and labels
realistic-speed-range,14,TODO_DATASET,TODO_DETECTOR_PROFILE,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: derive from TP/FP,TODO: derive from TP/FN,TODO: derive from precision/recall,TODO: compute from scores and labels
realistic-speed-range,15,TODO_DATASET,TODO_DETECTOR_PROFILE,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: derive from TP/FP,TODO: derive from TP/FN,TODO: derive from precision/recall,TODO: compute from scores and labels
realistic-speed-range,16,TODO_DATASET,TODO_DETECTOR_PROFILE,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: derive from TP/FP,TODO: derive from TP/FN,TODO: derive from precision/recall,TODO: compute from scores and labels
realistic-speed-range,17,TODO_DATASET,TODO_DETECTOR_PROFILE,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: derive from TP/FP,TODO: derive from TP/FN,TODO: derive from precision/recall,TODO: compute from scores and labels
realistic-speed-range,18,TODO_DATASET,TODO_DETECTOR_PROFILE,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: derive from TP/FP,TODO: derive from TP/FN,TODO: derive from precision/recall,TODO: compute from scores and labels
realistic-speed-range,19,TODO_DATASET,TODO_DETECTOR_PROFILE,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: count from labeled detections,TODO: derive from TP/FP,TODO: derive from TP/FN,TODO: derive from precision/recall,TODO: compute from scores and labels
